"VarName","TimeString","VarValue","Validity","Time_ms","Checksum"
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:14",0,1,45247381411.4699,+ldwZf
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:14",0,1,45247381411.4699,uwWvwa
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:16",-0.2893519,1,45247381434.7454,vrmm5j
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:16",5.425347E-03,1,45247381434.7454,XYb6Wa
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:16",0,1,45247381434.7454,z9K7po
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:16",0,1,45247381434.7454,N1CRuC
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:18",-0.2893519,1,45247381458.044,shLlIK
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:18",5.425347E-03,1,45247381458.044,JkFwRz
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:18",0,1,45247381458.044,Fr6JgF
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:18",0,1,45247381458.044,64ql3o
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:20",-0.2893519,1,45247381481.3079,YxYL4f
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:20",5.425347E-03,1,45247381481.3079,ka4/hQ
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:20",0,1,45247381481.3079,XiLblq
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:20",0,1,45247381481.3079,nJq7KI
"PID_AirFlow_Ctl_Control_Setpoint","17/Nov/2023 09:09:21",0,1,45247381494.3634,CX7FKT
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:22",-0.8680556,1,45247381504.5833,H04MR9
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:22",5.425347E-03,1,45247381504.5833,NnD3nO
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:22",0,1,45247381504.5833,4RYL9v
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:22",0,1,45247381504.5833,g44hfO
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:24",-0.8680556,1,45247381527.8819,j40LHA
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:24",5.425347E-03,1,45247381527.8819,yfVZuM
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:24",0,1,45247381527.8819,hhfPGR
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:24",0,1,45247381527.8819,57n2zG
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:26",-0.2893519,1,45247381551.169,JAAGFZ
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:26",5.425347E-03,1,45247381551.169,iSgUSC
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:26",0,1,45247381551.169,AbTQyu
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:26",0,1,45247381551.169,PkYIfk
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:28",-0.8680556,1,45247381574.4676,QXqpf+
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:28",5.425347E-03,1,45247381574.4676,j7/YHc
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:28",0,1,45247381574.4676,NpNFC0
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:28",0,1,45247381574.4676,Tjt+Ak
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:30",-0.8680556,1,45247381597.7431,KPqaI9
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:30",5.425347E-03,1,45247381597.7431,TDWZbv
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:30",0,1,45247381597.7431,Mwm9YE
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:30",0,1,45247381597.7431,tenpKK
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:32",-0.2893519,1,45247381621.0648,AQdJRn
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:32",5.425347E-03,1,45247381621.0648,9vJwwI
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:32",0,1,45247381621.0648,mpQny5
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:32",0,1,45247381621.0648,95cPr5
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:34",-0.8680556,1,45247381644.375,ZFuQoz
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:34",5.425347E-03,1,45247381644.375,DOLWVi
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:34",0,1,45247381644.375,0dlVwF
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:34",0,1,45247381644.375,76CPEn
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:36",-0.8680556,1,45247381667.6736,+IcZvp
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:36",5.425347E-03,1,45247381667.6736,OlQQh3
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:36",0,1,45247381667.6736,vsV18y
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:36",0,1,45247381667.6736,sZUzQ5
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:38",-0.2893519,1,45247381690.9954,t5+48x
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:38",5.425347E-03,1,45247381690.9954,4xomgU
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:38",0,1,45247381690.9954,56u30u
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:38",0,1,45247381690.9954,+srADn
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:40",-0.8680556,1,45247381714.294,ah+Bvg
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:40",5.425347E-03,1,45247381714.294,VJ/Hr+
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:40",0,1,45247381714.294,b/55R2
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:40",0,1,45247381714.294,YFE0lO
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:42",-0.8680556,1,45247381737.5926,XnLd7r
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:42",5.425347E-03,1,45247381737.5926,IPDmgz
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:42",0,1,45247381737.5926,u/aZ8F
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:42",0,1,45247381737.5926,cLqoUb
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:44",-0.2893519,1,45247381760.9144,J4T/E2
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:44",5.425347E-03,1,45247381760.9144,O+YQpS
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:44",0,1,45247381760.9144,3esY/Z
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:44",0,1,45247381760.9144,rMOzx4
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:46",-0.2893519,1,45247381784.2245,KLGMlO
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:46",5.425347E-03,1,45247381784.2245,U+MVlz
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:46",0,1,45247381784.2245,6GP6dt
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:46",0,1,45247381784.2245,8W1soB
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:48",-0.8680556,1,45247381807.5463,tFraUi
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:48",5.425347E-03,1,45247381807.5463,RELDKi
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:48",0,1,45247381807.5463,y8fK+P
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:48",0,1,45247381807.5463,ex7sAa
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:50",-0.2893519,1,45247381830.8333,EUkHXl
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:50",5.425347E-03,1,45247381830.8333,8T2+AF
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:50",0,1,45247381830.8333,Cx81bA
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:50",0,1,45247381830.8333,VN47/5
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:52",-0.2893519,1,45247381854.1551,rWW8/j
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:52",5.425347E-03,1,45247381854.1551,64Y/79
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:52",0,1,45247381854.1551,OTiZBg
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:52",0,1,45247381854.1551,HdWjz3
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:54",-0.2893519,1,45247381877.4769,cDr56Q
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:54",5.425347E-03,1,45247381877.4769,UkvpQ1
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:54",0,1,45247381877.4769,bOGB0Z
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:54",0,1,45247381877.4769,rYqtrn
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:56",-0.2893519,1,45247381900.7755,i7Y4bl
"C6_ME02_FX02_VALUE","17/Nov/2023 09:09:56",5.425347E-03,1,45247381900.7755,9tbxpU
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:09:56",0,1,45247381900.7755,1fGqxV
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:09:56",0,1,45247381900.7755,FvTZDu
"C6_ME02_FX01_VALUE","17/Nov/2023 09:09:58",-0.2893519,1,45247381924.0857,oQzMtn
