"VarName","TimeString","VarValue","Validity","Time_ms","Checksum"
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:38",14.17535,1,45247381690.9954,5aPp7l
"BatchData_Phase_Step_Current","17/Nov/2023 09:09:39",3,1,45247381702.6852,M8Fgwc
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:40",1.328848,1,45247381714.294,oTvbkM
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:40",14.17535,1,45247381714.294,H3JHoa
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:42",1.35272,1,45247381737.5926,Ld2Dkk
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:42",14.17535,1,45247381737.5926,2fKZbX
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:44",1.35272,1,45247381760.9144,ucZPHB
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:44",14.16956,1,45247381760.9144,JMVxRC
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:46",1.35272,1,45247381784.2245,adhiJc
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:46",14.17535,1,45247381784.2245,bqoMMk
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:48",1.344763,1,45247381807.5463,gZOAF7
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:48",14.16956,1,45247381807.5463,T3nmXl
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:50",1.344763,1,45247381830.8333,mirSzN
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:50",14.17535,1,45247381830.8333,UxoWgf
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:52",1.344763,1,45247381854.1551,+5mHcT
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:52",14.16956,1,45247381854.1551,TcfI23
"BatchData_Phase_Step_Current","17/Nov/2023 09:09:53",4,1,45247381864.7454,1OjEMO
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:54",1.344763,1,45247381877.4769,7gywHN
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:54",14.16666,1,45247381877.4769,Y5vYuF
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:56",1.328848,1,45247381900.7755,t05Y4P
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:56",14.16956,1,45247381900.7755,DFvXQY
"C6_ME02_LT01_VALUE","17/Nov/2023 09:09:58",1.344763,1,45247381924.0857,WNeS4G
"C6_ME02_AX02_VALUE","17/Nov/2023 09:09:58",14.16956,1,45247381924.0857,OLUY2d
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:00",1.35272,1,45247381947.4074,CiJ6fX
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:00",14.16666,1,45247381947.4074,srzosB
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:02",1.344763,1,45247381970.6944,cLw+vE
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:02",14.16377,1,45247381970.6944,B3A7mW
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:04",1.35272,1,45247381994.0162,n6sj5A
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:04",14.16666,1,45247381994.0162,qYfjuv
"BatchData_Phase_Step_Current","17/Nov/2023 09:10:06",5,1,45247382015.1736,IMhpcW
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:06",1.344763,1,45247382017.3148,CV4/dN
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:06",14.16666,1,45247382017.3148,8BZaw0
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:08",1.35272,1,45247382040.6134,Q9RkIV
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:08",14.16666,1,45247382040.6134,NAe2tJ
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:10",1.344763,1,45247382063.9236,acoGar
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:10",14.16666,1,45247382063.9236,rz1rKF
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:12",1.344763,1,45247382087.2338,B+9Q7p
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:12",14.16666,1,45247382087.2338,D5GNkx
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:14",1.344763,1,45247382110.5556,dXCZf+
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:14",14.16377,1,45247382110.5556,ppf19S
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:16",1.35272,1,45247382133.8657,p/3z6r
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:16",14.16666,1,45247382133.8657,GoK4/s
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:18",1.344763,1,45247382157.1875,l9Q7Sy
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:18",14.15798,1,45247382157.1875,zklq4n
"BatchData_Phase_Step_Current","17/Nov/2023 09:10:20",6,1,45247382177.2106,+FU+8g
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:20",1.344763,1,45247382180.5093,6ih1NX
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:20",14.15509,1,45247382180.5093,6vdSZO
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:22",1.344763,1,45247382203.8079,lkvuzJ
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:22",14.15798,1,45247382203.8079,csZaJt
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:24",1.328848,1,45247382227.1065,jUO2RF
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:24",14.15798,1,45247382227.1065,CaJytj
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:26",1.328848,1,45247382250.4282,V5znnx
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:26",14.15509,1,45247382250.4282,WhgD+9
"BatchData_Phase_Step_Current","17/Nov/2023 09:10:28",7,1,45247382269.8032,LG1Hus
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:28",1.344763,1,45247382273.7384,2nJvy9
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:28",14.15798,1,45247382273.7384,CMYCkw
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:30",1.320891,1,45247382297.0602,ruCNYn
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:30",14.15798,1,45247382297.0602,Tm1Jsx
"C6_ME02_LT01_VALUE","17/Nov/2023 09:10:32",1.312934,1,45247382320.3704,Iu55Z9
"C6_ME02_AX02_VALUE","17/Nov/2023 09:10:32",14.15798,1,45247382320.3704,fBT6Uj
